leak out|The boat was leaking so they had to bail it out.
buy in|One person wrote in, "When I win, I'm going to buy my own little mountain and have a little house on top." And another person wrote, "I would fill a big bathtub with money and get in the tub while smoking a big fat cigar and sipping a glass of champagne." This is even worse now: "Then I'd have a picture taken and dozens of glossies made.
fill in|One person wrote in, "When I win, I'm going to buy my own little mountain and have a little house on top." And another person wrote, "I would fill a big bathtub with money and get in the tub while smoking a big fat cigar and sipping a glass of champagne." This is even worse now: "Then I'd have a picture taken and dozens of glossies made.
type in|Anyone begging for money or trying to extort from me would receive a copy of the picture and nothing else." And so many of the comments were exactly of this type, where people got money and, in fact, it made them antisocial.
reason out|The reason I have a ridiculous pinata there is one of the teams pooled their money and bought a pinata, and they all got around and smashed the pinata and all the candy fell out and things like that.
go about|Go to the website and start yourself on the process of thinking, again, less about "How can I spend money on myself?" and more about "If I've got five dollars or 15 dollars, what can I do to benefit other people?" Because ultimately when you do that, you'll find that you'll benefit yourself much more.
go about|And today, after briefly describing what they found, I'm going to tell you about a highly controversial framework for explaining their discovery, namely the possibility that way beyond the Earth, the Milky Way and other distant galaxies, we may find that our universe is not the only universe, but is instead part of a vast complex of universes that we call the multiverse.
back away|Okay, part one starts back in 1929 when the great astronomer Edwin Hubble realized that the distant galaxies were all rushing away from us, establishing that space itself is stretching, it's expanding.
change over|And they did this by painstaking observations of numerous distant galaxies, allowing them to chart how the expansion rate has changed over time.
drive away|What force is driving all galaxies to rush away from every other at an ever-quickening speed?
have against|Because the repulsive gravity of an invisible energy in space -- we now call it dark energy, but I've made it smokey white here so you can see it -- its repulsive gravity would cause each galaxy to push against every other, driving expansion to speed up, not slow down.
go about|So hold the mystery of the dark energy in the back of your mind as I now go on to tell you three key things about string theory.
dream of|Well it's an approach to realize Einstein's dream of a unified theory of physics, a single overarching framework that would be able to describe all the forces at work in the universe.
find out|It's that the right question to ask is, why do we humans find ourselves in a universe with a particular amount of dark energy we've measured instead of any of the other possibilities that are out there?
yield to|So we find ourselves on a planet at this particular distance simply because it yields conditions vital to our form of life.
fuel up|The fuel is based on something called a quantum field, but the only detail that matters for us is that this fuel proves to be so efficient that it's virtually impossible to use it all up, which means in the inflationary theory, the Big Bang giving rise to our universe is likely not a one-time event.
block in|So on the one hand, it's just incredible where we've gotten, but who knows what sort of blocks we may find in the future.
be after|And so what my team of researchers, what we wanted to do, is say, can we apply genetic and proteomic technology to go after DNA and proteins, and from this can we get better taxonomic resolution to really understand what's going on?
sort out|In the case of Gooseberry Natural Resources, this patent on emailing news releases had sort of a fatal flaw as it pertained to myself, and that was that in the mainstream media world there is only one definition for news release, and it turns out that is press release -- as in P.R.
deal in|Now my company, Fark, deals with news, ostensibly, and as a result we were not in violation of this patent.
have against|Now I had hoped to team up with some of these larger companies in order to defend against this lawsuit, but one-by-one they settled out of the case, even though -- and this is important -- none of these companies infringed on this patent -- not a one of them.
reason out|The reason they settled out is because it's cheaper to settle than to fight the lawsuit -- clearly, two million dollars cheaper in some cases, and much worse if you actually lose.
end in|My company's having a reorganization on our end." Never mind the fact that the address led to a strip mall somewhere in Northern L.A.
well up|Well to sum up, it boils down to one thing: Don't negotiate with terrorists.
care for|The health care industry would like stronger protections for inventors.
buy in|So before going to law school in China I bought a banjo, I threw it in my little red truck and I traveled down through Appalachia and I learned a bunch of old American songs, and I ended up in Kentucky at the International Bluegrass Music Association Convention.
end in|So before going to law school in China I bought a banjo, I threw it in my little red truck and I traveled down through Appalachia and I learned a bunch of old American songs, and I ended up in Kentucky at the International Bluegrass Music Association Convention.
be after|And they're like, "What's that girl doing?" And then they come up to me after the show and they all have a story.
round off|It then comes back into a round form and then tapers and curves off.
get about|My aorta is fixed, I haven't got to worry about it, which is a rebirth for me.
use up|Back to the theme of the presentation: In multidisciplinary research, how on earth does a process engineer used to working with boilers end up producing a medical device which transforms his own life?
be after|I was born in Den Bosch, where the painter Hieronymus Bosch named himself after.
focus on|And at that time the focus in a lot of animal research was on aggression and competition.
end in|They ended up in a tree, and one of them holds out a hand to the other.
be after|The wolf is, after all, a very cooperative animal.
box in|What you have here is two young chimpanzees who have a box, and the box is too heavy for one chimp to pull in.
leave on|The apparatus is on the left with food on it.
water down|And if the partner puts pressure on them -- so if the partner starts spitting water and intimidating them -- then the choices go down.
be after|And there's now many more, because after we did this about 10 years ago, it became very well known.
price in|Now if you give the partner grapes -- the food preferences of my capuchin monkeys correspond exactly with the prices in the supermarket -- and so if you give them grapes -- it's a far better food -- then you create inequity between them.
share in|And he said, "Frank, I've got to share with you this story that just played out in my life." He said, "My knees are still shaking." He said, "For three years, my girlfriend and I, we've made it this Sunday morning ritual to visit the PostSecret blog together and read the secrets out loud.
share in|Matty shared with me an emotional email he received from the mother in that picture.
leave on|"When people I love leave voicemails on my phone I always save them in case they die tomorrow and I have no other way of hearing their voice ever again." When I posted this secret, dozens of people sent voicemail messages from their phones, sometimes ones they'd been keeping for years, messages from family or friends who had died.
phone in|"When people I love leave voicemails on my phone I always save them in case they die tomorrow and I have no other way of hearing their voice ever again." When I posted this secret, dozens of people sent voicemail messages from their phones, sometimes ones they'd been keeping for years, messages from family or friends who had died.
enter for|We willingly enter fictional worlds where we cheer our heroes and cry for friends we never had.
block in|The first concrete blocks were manufactured in 1868 with a very simple idea: modules made of cement of a fixed measurement that fit together.
block in|Very quickly concrete blocks became the most-used construction unit in the world.
brick in|And in a few short years, LEGO bricks took place in every household.
part with|And the best part about it is they snap together with magnets.
go about|Many times I go around the world to speak, and people ask me questions about the challenges, my moments, some of my regrets.
be after|Her mother was often told by other women, "You and your child will die poor." After two weeks of working in that village, it was time to go back.
dream of|Her dream of going to school, her wish of being educated, is finally here.
dream of|I wish that sexual abuse and exploitation in schools would stop." This is the dream of the African girl.
dream of|But sadly, the vision of a great future, or the dream of a great future, is just a dream, because you have all of these vices.
fly about|Today, we don't talk about flying transonically, or even supersonically, we talk about flying hypersonically -- not Mach 2 or Mach 3, Mach 20.
angle for|Now the Minotaur IV has too much impulse, so we have to bleed it off by flying the rocket at an 89 degree angle of attack for portions of the trajectory.
dream of|In 1969, the internet was but a dream, a few sketches on a piece of paper.
end in|So that glider of yours, the Mach 20 glider, the first one, no control, it ended up in the Pacific I think somewhere.
well up|It's actually, "Look at that cute hummingbird flying into my headquarters." Because I think, as well as the awe of looking at that, I'm sure some people here are thinking, technology catches up so quick, how long is it before some crazed geek with a little remote control flies one through a window of the White House?
time out|If in the time that it took me to walk out here on this stage, some tens of megawatts of wind power stopped pouring into the grid, the difference would have to be made up from other generators immediately.
light out|The OED defines spectrum as "The entire range of wavelengths of electromagnetic radiation, from the longest radio waves to the shortest gamma rays of which the range of visible light is only a small part." So I'm not here today only to tell you how my team at MIT has drawn out of nature a solution to one of the world's great problems.
short out|The OED defines spectrum as "The entire range of wavelengths of electromagnetic radiation, from the longest radio waves to the shortest gamma rays of which the range of visible light is only a small part." So I'm not here today only to tell you how my team at MIT has drawn out of nature a solution to one of the world's great problems.
cool down|So let's abandon the paradigm of let's search for the coolest chemistry and then hopefully we'll chase down the cost curve by just making lots and lots of product.
let down|So let's abandon the paradigm of let's search for the coolest chemistry and then hopefully we'll chase down the cost curve by just making lots and lots of product.
want out|I say, if you want to make something dirt cheap, make it out of dirt -- preferably dirt that's locally sourced.
be after|It's about 50 feet wide and recedes about half a mile -- row after row of cells that, inside, resemble Volta's battery, with three important differences.
answer back|And if you ask these people why they work on liquid metal battery, their answer would hearken back to President Kennedy's remarks at Rice University in 1962 when he said -- and I'm taking liberties here -- "We choose to work on grid-level storage, not because it is easy, but because it is hard." So this is the evolution of the liquid metal battery.
account for|So you see, the liquid metal battery story is more than an account of inventing technology, it's a blueprint for inventing inventors, full-spectrum.
box in|When you get a poem on a billboard or on the radio or on a cereal box or whatever, it happens to you so suddenly that you don't have time to deploy your anti-poetry deflector shields that were installed in high school.
want out|It wants only to be here tomorrow, dressed perhaps in the sleeve of a plaid shirt, nose pressed against the page, writing a few more dutiful lines while I gaze out the window and imagine Budapest or some other city where I have never been.
come about|The poem that's coming up is based on him trying to tell me a little something about a domestic point of etiquette in country living that I had a very hard time, at first, processing.
be after|And the last poem is called "The Dead." I wrote this after a friend's funeral, but not so much about the friend as something the eulogist kept saying, as all eulogists tend to do, which is how happy the deceased would be to look down and see all of us assembled.
call after|And the last poem is called "The Dead." I wrote this after a friend's funeral, but not so much about the friend as something the eulogist kept saying, as all eulogists tend to do, which is how happy the deceased would be to look down and see all of us assembled.
write down|And the last poem is called "The Dead." I wrote this after a friend's funeral, but not so much about the friend as something the eulogist kept saying, as all eulogists tend to do, which is how happy the deceased would be to look down and see all of us assembled.
be after|Of course, there will be time for all that later in your life, after you come out of your room and begin to blossom, or at least pick up all your socks.
time out|Of course, there will be time for all that later in your life, after you come out of your room and begin to blossom, or at least pick up all your socks.
dish out|By the way, I lied about Schubert doing the dishes, but that doesn't mean he never helped out around the house." Thank you.
go about|In addition to making this personal -- so we're going to talk about your relationship with your heart and all women's relationship with their heart -- we're going to wax into the politics.
help out|So the first time heart disease strikes in women and men, half of the time it's sudden cardiac death -- no opportunity to say good-bye, no opportunity to take her to the chemotherapy, no opportunity to help her pick out a wig.
time out|So the first time heart disease strikes in women and men, half of the time it's sudden cardiac death -- no opportunity to say good-bye, no opportunity to take her to the chemotherapy, no opportunity to help her pick out a wig.
stand about|Betty Ford, Nancy Reagan stood up and said, "I'm a breast cancer survivor," and it was okay to talk about it.
follow on|So in the WISE, 15 years ago, we started out and said, "Well wow, there's a couple of key observations and we should probably follow up on that." And our colleagues in Washington, D.C.
well up|So in the WISE, 15 years ago, we started out and said, "Well wow, there's a couple of key observations and we should probably follow up on that." And our colleagues in Washington, D.C.
wise up|So in the WISE, 15 years ago, we started out and said, "Well wow, there's a couple of key observations and we should probably follow up on that." And our colleagues in Washington, D.C.
want out|Or do you want these guys, that look like they're out to lunch?
light out|And we essentially pass light right through the tissue, and from understanding how much of it is transmitted, how much of it is scattered and how much of it is absorbed, we can figure out how much hemoglobin is there in the blood.
room in|I would bet there aren't 10 percent of you in the room that know how many aircraft carriers there are in the world.
go about|But if you're going to do anything about the dependency on foreign oil, you have to address transportation.
go about|Go forward and the estimates that you have from the EIA and onto the industry estimates -- the industry knows what they're talking about -- we've got 4,000 trillion cubic feet of natural gas that's available to us.
use up|And here you can see methane, if that's the way you're going to go, that there's plenty of methane -- natural gas is methane, methane and natural gas are interchangeable -- but if you decide that you're going to use some methane -- and I'm gone, so it's up to you -- but we do have plenty of methane hydrates.
well up|TBP: Well I'm not ready to give up, but Jim and I talked there as he left, and I said, "How do you feel about natural gas?" And he said, "Well it's a bridge fuel, is what it is." And I said, "Bridge to what?
go about|I'm going to tell you a little bit about my TEDxHouston Talk.
go about|And we're going to be talking about 600, 700 people." And she said, "Well, I think it's too late." And I said, "Let me ask you something." And she said, "Yeah." And I said, "Do you remember when we were in college and really wild and kind of dumb?" And she said, "Yeah." And I said, "Remember when we'd leave a really bad message on our ex-boyfriend's answering machine?
leave on|And we're going to be talking about 600, 700 people." And she said, "Well, I think it's too late." And I said, "Let me ask you something." And she said, "Yeah." And I said, "Do you remember when we were in college and really wild and kind of dumb?" And she said, "Yeah." And I said, "Remember when we'd leave a really bad message on our ex-boyfriend's answering machine?
feel up|Your sisters would be perfect for this." So I looked back up and she said, "Are you really going to try to break in and steal the video before they put it on YouTube?" And I said, "I'm just thinking about it a little bit." She said, "You're like the worst vulnerability role model ever." And then I looked at her and I said something that at the time felt a little dramatic, but ended up being more prophetic than dramatic.
go about|Your sisters would be perfect for this." So I looked back up and she said, "Are you really going to try to break in and steal the video before they put it on YouTube?" And I said, "I'm just thinking about it a little bit." She said, "You're like the worst vulnerability role model ever." And then I looked at her and I said something that at the time felt a little dramatic, but ended up being more prophetic than dramatic.
ask about|Let me ask you honestly -- and I'll give you this warning, I'm trained as a therapist, so I can out-wait you uncomfortably -- so if you could just raise your hand that would be awesome -- how many of you honestly, when you're thinking about doing something vulnerable or saying something vulnerable, think, "God, vulnerability's weakness.
be after|One of the weird things that's happened is, after the TED explosion, I got a lot of offers to speak all over the country -- everyone from schools and parent meetings to Fortune 500 companies.
book in|Then we read your book and we renamed ourselves 'The Breakdown Babes.'" And she said, "Our tagline is: 'We're falling apart and it feels fantastic.'" You can only imagine what it's like for me in a faculty meeting.
go about|So when I became Vulnerability TED, like an action figure -- like Ninja Barbie, but I'm Vulnerability TED -- I thought, I'm going to leave that shame stuff behind, because I spent six years studying shame before I really started writing and talking about vulnerability.
have against|The ability to hold something we've done or failed to do up against who we want to be is incredibly adaptive.
hold against|The ability to hold something we've done or failed to do up against who we want to be is incredibly adaptive.
be after|And it wasn't until a man looked at me one day after a book signing, said, "I love what you have to say about shame, I'm curious why you didn't mention men." And I said, "I don't study men." And he said, "That's convenient." And I said, "Why?" And he said, "Because you say to reach out, tell our story, be vulnerable.
look after|And it wasn't until a man looked at me one day after a book signing, said, "I love what you have to say about shame, I'm curious why you didn't mention men." And I said, "I don't study men." And he said, "That's convenient." And I said, "Why?" And he said, "Because you say to reach out, tell our story, be vulnerable.
go about|Today I'm going to talk about unexpected discoveries.
start off|So a couple of years ago I started a program to try to get the rockstar tech and design people to take a year off and work in the one environment that represents pretty much everything they're supposed to hate; we have them work in government.
go about|We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would have cost about two million dollars.
line up|And that's that when you strip away all your feelings about politics and the line at the DMV and all those other things that we're really mad about, government is, at its core, in the words of Tim O'Reilly, "What we do together that we can't do alone." Now a lot of people have given up on government.
word up|And that's that when you strip away all your feelings about politics and the line at the DMV and all those other things that we're really mad about, government is, at its core, in the words of Tim O'Reilly, "What we do together that we can't do alone." Now a lot of people have given up on government.
come about|Well after two years, I've come to the conclusion that, especially local government, is about opossums.
part with|If you should ever have the chance to staff your city's call center, as our fellow Scott Silverman did as part of the program -- in fact, they all do that -- you will find that people call government with a very wide range of issues, including having an opossum stuck in your house.
zone in|We also said that the 21st century would see shifting climate zones, creation of drought-prone regions in North America and Asia, erosion of ice sheets, rising sea levels and opening of the fabled Northwest Passage.
add on|Adding CO2 to the air is like throwing another blanket on the bed.
be after|These curves for global temperature, atmospheric CO2 and sea level were derived from ocean cores and Antarctic ice cores, from ocean sediments and snowflakes that piled up year after year over 800,000 years forming a two-mile thick ice sheet.
change over|Small changes in Earth's orbit that occur over tens to hundreds of thousands of years alter the distribution of sunlight on Earth.
occur to|Small changes in Earth's orbit that occur over tens to hundreds of thousands of years alter the distribution of sunlight on Earth.
point out|The important point is that we will have started a process that is out of humanity's control.
point out|This path, if continued, guarantees that we will pass tipping points leading to ice sheet disintegration that will accelerate out of control of future generations.
go about|And so if I were going to give you the ending of this story, it would go something like this: And that's what ultimately led me to speaking to you here at TED about story.
book in|" These Carter books always had Edgar Rice Burroughs as a narrator in it.
time out|â™« And that is all â™« â™« that love's about â™« â™« And we'll recall â™« â™« when time runs out â™« â™« That it only â™« AS: Storytelling without dialogue.
pitch for|You've got to remember that in this time of year, 1993, what was considered a successful animated picture was "The Little Mermaid," "Beauty and the Beast," "Aladdin," "Lion King." So when we pitched "Toy Story" to Tom Hanks for the first time, he walked in and he said, "You don't want me to sing, do you?" And I thought that epitomized perfectly what everybody thought animation had to be at the time.
toy at|You've got to remember that in this time of year, 1993, what was considered a successful animated picture was "The Little Mermaid," "Beauty and the Beast," "Aladdin," "Lion King." So when we pitched "Toy Story" to Tom Hanks for the first time, he walked in and he said, "You don't want me to sing, do you?" And I thought that epitomized perfectly what everybody thought animation had to be at the time.
toy at|And we had naively thought, well Woody in "Toy Story" has to become selfless at the end, so you've got to start from someplace.
play along|We're all willing to play by the rules and follow things along, as long as certain conditions are met.
see about|And before I'd even decided to make storytelling my career, I can now see key things that happened in my youth that really sort of opened my eyes to certain things about story.
end in|She was the end of every argument in our family.
be after|Stevenson, you give talks, you make speeches, you tell people to stop saying we're dealing with terrorism for the first time in our nation's history after 9/11." They tell me to say, "No, tell them that we grew up with that." And that era of terrorism, of course, was followed by segregation and decades of racial subordination and apartheid.
deal in|Stevenson, you give talks, you make speeches, you tell people to stop saying we're dealing with terrorism for the first time in our nation's history after 9/11." They tell me to say, "No, tell them that we grew up with that." And that era of terrorism, of course, was followed by segregation and decades of racial subordination and apartheid.
make after|Stevenson, you give talks, you make speeches, you tell people to stop saying we're dealing with terrorism for the first time in our nation's history after 9/11." They tell me to say, "No, tell them that we grew up with that." And that era of terrorism, of course, was followed by segregation and decades of racial subordination and apartheid.
be after|It was fascinating because one of the scholars stood up after the presentation and said, "Well you know it's deeply troubling to hear what you're talking about." He said, "We don't have the death penalty in Germany.
hear about|It was fascinating because one of the scholars stood up after the presentation and said, "Well you know it's deeply troubling to hear what you're talking about." He said, "We don't have the death penalty in Germany.
stand about|It was fascinating because one of the scholars stood up after the presentation and said, "Well you know it's deeply troubling to hear what you're talking about." He said, "We don't have the death penalty in Germany.
room in|And of course, we can never have the death penalty in Germany." And the room got very quiet, and this woman said, "There's no way, with our history, we could ever engage in the systematic killing of human beings.
deal in|He said, "When we were in Eastern Europe and dealing with oppression, we wanted all kinds of things, but mostly what we needed was hope, an orientation of the spirit, a willingness to sometimes be in hopeless places and be a witness." Well that orientation of the spirit is very much at the core of what I believe even TED communities have to be engaged in.
be after|And one time I was over there listening to these women talk, and after a couple of hours Ms.
go about|A couple months went by, and I had just forgotten all about it.
man down|And finally, this older black man with this very worried look on his face came into the courtroom and sat down behind me, almost at counsel table.
strike back|And so we have three strikes laws that put people in prison forever for stealing a bicycle, for low-level property crimes, rather than making them give those resources back to the people who they victimized.
book in|I had a vision of 10 girls sitting in a cabin cozily reading books in their matching nightgowns.
book in|But the first time that I took my book out of my suitcase, the coolest girl in the bunk came up to me and she asked me, "Why are you being so mellow?" -- mellow, of course, being the exact opposite of R-O-W-D-I-E.
time out|But the first time that I took my book out of my suitcase, the coolest girl in the bunk came up to me and she asked me, "Why are you being so mellow?" -- mellow, of course, being the exact opposite of R-O-W-D-I-E.
come about|And then the second time I tried it, the counselor came up to me with a concerned expression on her face and she repeated the point about camp spirit and said we should all work very hard to be outgoing.
book in|And so I put my books away, back in their suitcase, and I put them under my bed, and there they stayed for the rest of the summer.
get about|And interesting research by Adam Grant at the Wharton School has found that introverted leaders often deliver better outcomes than extroverts do, because when they are managing proactive employees, they're much more likely to let those employees run with their ideas, whereas an extrovert can, quite unwittingly, get so excited about things that they're putting their own stamp on things, and other people's ideas might not as easily then bubble up to the surface.
own up|And interesting research by Adam Grant at the Wharton School has found that introverted leaders often deliver better outcomes than extroverts do, because when they are managing proactive employees, they're much more likely to let those employees run with their ideas, whereas an extrovert can, quite unwittingly, get so excited about things that they're putting their own stamp on things, and other people's ideas might not as easily then bubble up to the surface.
smack of|And some people fall smack in the middle of the introvert/extrovert spectrum, and we call these people ambiverts.
dream of|Seuss, he dreamed up many of his amazing creations in a lonely bell tower office that he had in the back of his house in La Jolla, California.
book in|And if you look at the self-help books from this era, they all had titles with things like "Character, the Grandest Thing in the World." And they featured role models like Abraham Lincoln who was praised for being modest and unassuming.
share in|So now I'd like to share with you what's in my suitcase today.
yield to|I mean literally every table, every chair in this apartment had yielded its original function to now serve as a surface for swaying stacks of books.
see about|And as you can see, it's about eight inches in diameter.
speed up|If you increase the speed of each of these rotors, then the robot flies up, it accelerates up.
be after|This is a picture of a recent experiment we did -- actually not so recent anymore -- in Sendai shortly after the earthquake.
be after|So robots like this could be sent into collapsed buildings to assess the damage after natural disasters, or sent into reactor buildings to map radiation levels.
double as|So this just shows that we can double, triple, quadruple the robot strength by just getting them to team with neighbors, as you can see here.
enter for|So I want to show you a clip of algorithms developed by Frank Shen and Professor Nathan Michael that shows this robot entering a building for the very first time and creating this map on the fly.
figure on|But the robot can also figure out where to go on its own.
send back|So suppose I were to send this into a building and I had no idea what this building looked like, I can ask this robot to go in, create a map and then come back and tell me what the building looks like.
point out|So here, the robot is not only solving the problem, how to go from point A to point B in this map, but it's figuring out what the best point B is at every time.
end in|Last month, MIT put out a study showing that by the end of this decade, in the sunny parts of the United States, solar electricity will be six cents a kilowatt hour compared to 15 cents as a national average.
live by|We live on a planet 70 percent covered by water.
operate on|See what happens when you operate a system past its limits and then keep on going at an ever-accelerating rate is that the system stops working and breaks down.
get about|Imagine what it means for your personal security as a heavily armed civilian population gets angrier and angrier about why this was allowed to happen.
price in|Imagine what you'll tell your children when they ask you, "So, in 2012, Mom and Dad, what was it like when you'd had the hottest decade on record for the third decade in a row, when every scientific body in the world was saying you've got a major problem, when the oceans were acidifying, when oil and food prices were spiking, when they were rioting in the streets of London and occupying Wall Street?
